symbol	entry	trigger	
co#IX0030	co#UIA007		
co#IX0030	co#UIA029		
co#IX0030	co#UIA131		
co#IX0030	co#UIS487		
co#IX0030	co#UIS666		
co#IX0034	co#UIA007		
co#IX0034	co#UIA029		
co#IX0034	co#UIA131		
co#IX0034	co#UIS487		
co#IX0034	co#UIS666		
co#UIA000	co#UIA007		
co#UIA000	co#UIA029		
co#UIA000	co#UIA131		
co#UIA000	co#UIS009		
co#UIA000	co#UIS047		
co#UIA000	co#UIS087		
co#UIA000	co#UIS088		
co#UIA000	co#UIS407		
co#UIA000	co#UIS487		
co#UIA000	co#UIS666		
co#UIA000	co#UIS767		
co#UIA000	co#UIS770		
co#UIA000	co_I0043		
co#UIA000	co_I0156		
co#UIA000	co_IS014		
co#UIA000	co#UIS661		
co#UIA002	co#UIA007		
co#UIA002	co#UIA029		
co#UIA002	co#UIA131		
co#UIA002	co#UIS487		
co#UIA002	co#UIS666		
co#UIA003	co#UIA007		
co#UIA003	co#UIA029		
co#UIA003	co#UIA131		
co#UIA003	co#UIS487		
co#UIA003	co#UIS666		
co#UIA003	co_SOURCES		
co#UIA007	co#UIA112		
co#UIA007	co#UIA113		
co#UIA007	co#UIA115		
co#UIA007	co#UIA116		
co#UIA007	co#UIA117		
co#UIA007	co#UIA118		
co#UIA007	co#UIA119		
co#UIA007	co#UIA120		
co#UIA007	co#UIA121		
co#UIA007	co#UIA139		
co#UIA007	co#UIA140		
co#UIA007	co#UIA141		
co#UIA007	co#UIA142		
co#UIA007	co#UIA143		
co#UIA007	co#UIA144		
co#UIA007	co#UIA145		
co#UIA007	co#UIA146		
co#UIA007	co#UIA147		
co#UIA007	co#UIA148		
co#UIA007	co#UIA151		
co#UIA025	co#UIA007		
co#UIA025	co#UIA029		
co#UIA025	co#UIA131		
co#UIA025	co#UIS487		
co#UIA025	co#UIS666		
co#UIA028	co#UIA007		
co#UIA028	co#UIA029		
co#UIA028	co#UIA131		
co#UIA028	co#UIS487		
co#UIA028	co#UIS666		
co#UIA040	co#UIA007		
co#UIA040	co#UIA029		
co#UIA040	co#UIA131		
co#UIA040	co#UIS487		
co#UIA040	co#UIS666		
co#UIA041	co#UIA007		
co#UIA041	co#UIA029		
co#UIA041	co#UIA131		
co#UIA041	co#UIS487		
co#UIA041	co#UIS666		
co#UIA042	co#UIA007		
co#UIA042	co#UIA029		
co#UIA042	co#UIA131		
co#UIA042	co#UIS487		
co#UIA042	co#UIS666		
co#UIA043	co#UIA007		
co#UIA043	co#UIA029		
co#UIA043	co#UIA131		
co#UIA043	co#UIS487		
co#UIA043	co#UIS666		
co#UIA044	co#UIA007		
co#UIA044	co#UIA029		
co#UIA044	co#UIA131		
co#UIA044	co#UIS487		
co#UIA044	co#UIS666		
co#UIA045	co#UIA007		
co#UIA045	co#UIA029		
co#UIA045	co#UIA131		
co#UIA045	co#UIS487		
co#UIA045	co#UIS666		
co#UIA046	co#UIA007		
co#UIA046	co#UIA029		
co#UIA046	co#UIA131		
co#UIA046	co#UIS487		
co#UIA046	co#UIS666		
co#UIA047	co#UIA007		
co#UIA047	co#UIA029		
co#UIA047	co#UIA131		
co#UIA047	co#UIS487		
co#UIA047	co#UIS666		
co#UIA048	co#UIA007		
co#UIA048	co#UIA029		
co#UIA048	co#UIA131		
co#UIA048	co#UIS487		
co#UIA048	co#UIS666		
co#UIA061	co#UIA007		
co#UIA061	co#UIA029		
co#UIA061	co#UIA112		
co#UIA061	co#UIA131		
co#UIA061	co#UIS487		
co#UIA061	co#UIS666		
co#UIA061B	co#UIA007		
co#UIA061B	co#UIA029		
co#UIA061B	co#UIA061		
co#UIA061B	co#UIA131		
co#UIA061B	co#UIS487		
co#UIA061B	co#UIS666		
co#UIA062	co#UIA007		
co#UIA062	co#UIA029		
co#UIA062	co#UIA131		
co#UIA062	co#UII072		
co#UIA062	co#UII073		
co#UIA062	co#UII726		
co#UIA062	co_IS015		
co#UIA062	co_IS016		
co#UIA062	co_IS019		
co#UIA062	co_IS020		
co#UIA062	co_IS023		
co#UIA062	co_IS024		
co#UIA062	co_IS027		
co#UIA062	co_IS028		
co#UIA062	co_IS031		
co#UIA062	co_IS032		
co#UIA062	co_IS057		
co#UIA062	co_IS060		
co#UIA062	co_IS061		
co#UIA062	co_IS066		
co#UIA062	co_IS067		
co#UIA062	co_IS070		
co#UIA062	co_IS071		
co#UIA062	co_IS076		
co#UIA062	co_IS079		
co#UIA062	co_IS080		
co#UIA062	co_IS083		
co#UIA062	co_IS084		
co#UIA066	co#UIA007		
co#UIA066	co#UIA029		
co#UIA066	co#UIA131		
co#UIA066	co#UII019		
co#UIA066	co#UII477		
co#UIA066	co#UII479		
co#UIA067	co#UIA007		
co#UIA067	co#UIA029		
co#UIA067	co#UIA112		
co#UIA067	co#UIA131		
co#UIA067	co#UIS487		
co#UIA067	co#UIS666		
co#UIA067B	co#UIA007		
co#UIA067B	co#UIA029		
co#UIA067B	co#UIA067		
co#UIA067B	co#UIA131		
co#UIA067B	co#UIS487		
co#UIA067B	co#UIS666		
co#UIA068	co#UIA007		
co#UIA068	co#UIA029		
co#UIA068	co#UIA131		
co#UIA068	co#UIS105		
co#UIA068	co#UIS106		
co#UIA068	co#UIS387		
co#UIA068	co#UIS453		
co#UIA068	co#UIS485		
co#UIA068	co#UIS487		
co#UIA068	co#UIS489		
co#UIA068	co#UIS504		
co#UIA068	co#UIS653		
co#UIA068	co#UIS666		
co#UIA068	co#UIS667		
co#UIA068	co#UIS668		
co#UIA068	co#UIS669		
co#UIA068	co#UIS670		
co#UIA068	co#UIS671		
co#UIA068	co#UIS672		
co#UIA068	co#UIS673		
co#UIA068	co#UIS674		
co#UIA068	co#UIS675		
co#UIA068	co#UIS676		
co#UIA068	co#UIS677		
co#UIA068	co#UIS706		
co#UIA068	co_I0157		
co#UIA068	co_I0176		
co#UIA068	co_I0221		
co#UIA068	co_I0222		
co#UIA068	co_I0248		
co#UIA068	co_I0249		
co#UIA069	co#UIA007		
co#UIA069	co#UIA029		
co#UIA069	co#UIA131		
co#UIA069	co#UIS456		
co#UIA069	co#UIS487		
co#UIA069	co#UIS666		
co#UIA070	co#UIA007		
co#UIA070	co#UIA029		
co#UIA070	co#UIA112		
co#UIA070	co#UIA131		
co#UIA100	co#UIA007		
co#UIA100	co#UIA029		
co#UIA100	co#UIA131		
co#UIA100	co#UIS487		
co#UIA100	co#UIS666		
co#UIA101	co#UIA007		
co#UIA101	co#UIA029		
co#UIA101	co#UIA131		
co#UIA101	co#UIS487		
co#UIA101	co#UIS666		
co#UIA102	co#UIA007		
co#UIA102	co#UIA029		
co#UIA102	co#UIA131		
co#UIA102	co#UIS487		
co#UIA102	co#UIS666		
co#UIA103	co#UIA007		
co#UIA103	co#UIA029		
co#UIA103	co#UIA131		
co#UIA103	co#UIS487		
co#UIA103	co#UIS666		
co#UIA104	co#UIA007		
co#UIA104	co#UIA029		
co#UIA104	co#UIA131		
co#UIA104	co#UIS487		
co#UIA104	co#UIS666		
co#UIA105	co#UIA007		
co#UIA105	co#UIA029		
co#UIA105	co#UIA131		
co#UIA105	co#UIS487		
co#UIA105	co#UIS666		
co#UIA106	co#UIA007		
co#UIA106	co#UIA029		
co#UIA106	co#UIA131		
co#UIA106	co#UIS487		
co#UIA106	co#UIS666		
co#UIA107	co#UIA007		
co#UIA107	co#UIA029		
co#UIA107	co#UIA131		
co#UIA107	co#UIS487		
co#UIA107	co#UIS666		
co#UIA108	co#UIA007		
co#UIA108	co#UIA029		
co#UIA108	co#UIA131		
co#UIA108	co#UIS487		
co#UIA108	co#UIS666		
co#UIA109	co#UIA007		
co#UIA109	co#UIA029		
co#UIA109	co#UIA131		
co#UIA109	co#UIS487		
co#UIA109	co#UIS666		
co#UIA110	co#UIA007		
co#UIA110	co#UIA029		
co#UIA110	co#UIA131		
co#UIA110	co#UIS487		
co#UIA110	co#UIS666		
co#UIA111	co#UIA007		
co#UIA111	co#UIA029		
co#UIA111	co#UIA131		
co#UIA111	co#UIS487		
co#UIA111	co#UIS666		
co#UIA112	co#UIA029		
co#UIA113	co#UIA029		
co#UIA114	co#UIA029		
co#UIA115	co#UIA029		
co#UIA116	co#UIA029		
co#UIA117	co#UIA029		
co#UIA118	co#UIA029		
co#UIA119	co#UIA029		
co#UIA131	co#UIA112		
co#UIA131	co#UIA113		
co#UIA131	co#UIA114		
co#UIA131	co#UIA115		
co#UIA131	co#UIA116		
co#UIA131	co#UIA117		
co#UIA131	co#UIA118		
co#UIA131	co#UIA119		
co#UIA131	co#UIA139		
co#UIA131	co#UIA140		
co#UIA131	co#UIA141		
co#UIA131	co#UIA142		
co#UIA131	co#UIA143		
co#UIA131	co#UIA144		
co#UIA131	co#UIA145		
co#UIA131	co#UIA146		
co#UIA131	co#UIA147		
co#UIA131	co#UIA148		
co#UIA131	co#UIA149		
co#UIA139	co#UIA029		
co#UIA140	co#UIA029		
co#UIA141	co#UIA029		
co#UIA142	co#UIA029		
co#UIA143	co#UIA029		
co#UIA144	co#UIA029		
co#UIA145	co#UIA029		
co#UIA146	co#UIA029		
co#UIA147	co#UIA029		
co#UIA148	co#UIA029		
co#UIA149	co#UIA029		
co#UIA150	co#UIA007		
co#UIA150	co#UIA112		
co#UIA150	co#UIA113		
co#UIA150	co#UIA114		
co#UIA150	co#UIA115		
co#UIA150	co#UIA117		
co#UIA150	co#UIA118		
co#UIA150	co#UIA119		
co#UIA150	co#UIA139		
co#UIA150	co#UIA140		
co#UIA150	co#UIA141		
co#UIA150	co#UIA142		
co#UIA150	co#UIA143		
co#UIA150	co#UIA144		
co#UIA150	co#UIA145		
co#UIA150	co#UIA146		
co#UIA150	co#UIA147		
co#UIA150	co#UIA148		
co#UIA150	co#UIA149		
co#UIA151	co#UIA029		
co#UIA152	co#UIA007		
co#UIA152	co#UIA029		
co#UIA152	co#UIA131		
co#UIA152	co#UIS487		
co#UIA152	co#UIS666		
co#UIA153	co#UIA007		
co#UIA153	co#UIA029		
co#UIA153	co#UIA131		
co#UIA153	co#UIS487		
co#UIA153	co#UIS666		
co#UIA154	co#UIA007		
co#UIA154	co#UIA029		
co#UIA154	co#UIA112		
co#UIA154	co#UIA131		
co#UIA154	co_SOURCES		
co#UIC002	co#UIA007		
co#UIC002	co#UIA029		
co#UIC002	co#UIA112		
co#UIC002	co#UIA131		
co#UIC003	co#UIA007		
co#UIC003	co#UIA029		
co#UIC003	co#UIA112		
co#UIC003	co#UIA131		
co#UIC004	co#UIA007		
co#UIC004	co#UIA029		
co#UIC004	co#UIA112		
co#UIC004	co#UIA131		
co#UIC005	co#UIA007		
co#UIC005	co#UIA029		
co#UIC005	co#UIA112		
co#UIC005	co#UIA131		
co#UIC006	co#UIA007		
co#UIC006	co#UIA029		
co#UIC006	co#UIA112		
co#UIC006	co#UIA131		
co#UIC007	co#UIA007		
co#UIC007	co#UIA029		
co#UIC007	co#UIA112		
co#UIC007	co#UIA131		
co#UIC008	co#UIA007		
co#UIC008	co#UIA029		
co#UIC008	co#UIA112		
co#UIC008	co#UIA131		
co#UIC010	co#UIA007		
co#UIC010	co#UIA029		
co#UIC010	co#UIA112		
co#UIC010	co#UIA131		
co#UIC011	co#UIA007		
co#UIC011	co#UIA029		
co#UIC011	co#UIA112		
co#UIC011	co#UIA131		
co#UIC012	co#UIA007		
co#UIC012	co#UIA029		
co#UIC012	co#UIA112		
co#UIC012	co#UIA131		
co#UIC013	co#UIA007		
co#UIC013	co#UIA029		
co#UIC013	co#UIA112		
co#UIC013	co#UIA131		
co#UIC014	co#UIA007		
co#UIC014	co#UIA029		
co#UIC014	co#UIA112		
co#UIC014	co#UIA131		
co#UIC015	co#UIA007		
co#UIC015	co#UIA029		
co#UIC015	co#UIA112		
co#UIC015	co#UIA131		
co#UIC016	co#UIA007		
co#UIC016	co#UIA029		
co#UIC016	co#UIA112		
co#UIC016	co#UIA131		
co#UIC018	co#UIA007		
co#UIC018	co#UIA029		
co#UIC018	co#UIA112		
co#UIC018	co#UIA131		
co#UIC019	co#UIA007		
co#UIC019	co#UIA029		
co#UIC019	co#UIA112		
co#UIC019	co#UIA131		
co#UIC019	co#UIS088		
co#UIC020	co#UIA007		
co#UIC020	co#UIA029		
co#UIC020	co#UIA112		
co#UIC020	co#UIA131		
co#UIC021	co#UIA007		
co#UIC021	co#UIA029		
co#UIC021	co#UIA112		
co#UIC021	co#UIA131		
co#UIC022	co#UIA007		
co#UIC022	co#UIA029		
co#UIC022	co#UIA112		
co#UIC022	co#UIA131		
co#UIC023	co#UIA007		
co#UIC023	co#UIA029		
co#UIC023	co#UIA112		
co#UIC023	co#UIA131		
co#UIC024	co#UIA007		
co#UIC024	co#UIA029		
co#UIC024	co#UIA112		
co#UIC024	co#UIA131		
co#UIC025	co#UIA007		
co#UIC025	co#UIA029		
co#UIC025	co#UIA112		
co#UIC025	co#UIA131		
co#UIC026	co#UIA007		
co#UIC026	co#UIA029		
co#UIC026	co#UIA112		
co#UIC026	co#UIA131		
co#UIC027	co#UIA007		
co#UIC027	co#UIA029		
co#UIC027	co#UIA112		
co#UIC027	co#UIA131		
co#UIC028	co#UIA007		
co#UIC028	co#UIA029		
co#UIC028	co#UIA112		
co#UIC028	co#UIA131		
co#UIC029	co#UIA007		
co#UIC029	co#UIA029		
co#UIC029	co#UIA112		
co#UIC029	co#UIA131		
co#UIC030	co#UIA007		
co#UIC030	co#UIA029		
co#UIC030	co#UIA112		
co#UIC030	co#UIA131		
co#UIC031	co#UIA007		
co#UIC031	co#UIA029		
co#UIC031	co#UIA112		
co#UIC031	co#UIA131		
co#UIC031	co_A0030		
co#UIC031	co_A0090		
co#UIC031	co_A0234		
co#UIC033	co#UIA007		
co#UIC033	co#UIA029		
co#UIC033	co#UIA112		
co#UIC033	co#UIA131		
co#UIC034	co#UIA007		
co#UIC034	co#UIA029		
co#UIC034	co#UIA112		
co#UIC034	co#UIA131		
co#UIC035	co#UIA007		
co#UIC035	co#UIA029		
co#UIC035	co#UIA112		
co#UIC035	co#UIA131		
co#UIC036	co#UIA007		
co#UIC036	co#UIA029		
co#UIC036	co#UIA112		
co#UIC036	co#UIA131		
co#UIC037	co#UIA007		
co#UIC037	co#UIA029		
co#UIC037	co#UIA112		
co#UIC037	co#UIA131		
co#UIC037	co#UIC003		
co#UIC037	co_A0036		
co#UIC040	co#UIA007		
co#UIC040	co#UIA029		
co#UIC040	co#UIA112		
co#UIC040	co#UIA131		
co#UII001	co#UIA007		
co#UII001	co#UIA029		
co#UII001	co#UIA131		
co#UII002	co#UIA007		
co#UII002	co#UIA029		
co#UII002	co#UIA131		
co#UII003	co#UIA007		
co#UII003	co#UIA029		
co#UII003	co#UIA131		
co#UII003	co#UIS046		
co#UII003	co#UIS487		
co#UII003	co#UIS666		
co#UII004	co#UIA007		
co#UII004	co#UIA029		
co#UII004	co#UIA131		
co#UII005	co#UIA000		
co#UII005	co#UIA007		
co#UII005	co#UIA029		
co#UII005	co#UIA131		
co#UII006	co#UIA007		
co#UII006	co#UIA029		
co#UII006	co#UIA131		
co#UII007	co#UIA007		
co#UII007	co#UIA029		
co#UII007	co#UIA131		
co#UII007	co_IS048		
co#UII016	co#UIA007		
co#UII016	co#UIA029		
co#UII016	co#UIA131		
co#UII018	co#UIA000		
co#UII018	co#UIA007		
co#UII018	co#UIA029		
co#UII018	co#UIA131		
co#UII018	co#UIS046		
co#UII018	co#UIS087		
co#UII018	co#UIS487		
co#UII018	co#UIS666		
co#UII018	co_IS100		
co#UII019	co#UIA007		
co#UII019	co#UIA029		
co#UII019	co#UIA131		
co#UII023	co#UIA007		
co#UII023	co#UIA029		
co#UII023	co#UIA100		
co#UII023	co#UIA101		
co#UII023	co#UIA102		
co#UII023	co#UIA103		
co#UII023	co#UIA104		
co#UII023	co#UIA105		
co#UII023	co#UIA106		
co#UII023	co#UIA107		
co#UII023	co#UIA108		
co#UII023	co#UIA109		
co#UII023	co#UIA110		
co#UII023	co#UIA111		
co#UII023	co#UIA131		
co#UII023	co#UII031		
co#UII023	co#UIS059		
co#UII023	co#UIS301		
co#UII023	co#UIS302		
co#UII023	co#UIS303		
co#UII023	co#UIS305		
co#UII023	co#UIS306		
co#UII023	co#UIS307		
co#UII023	co#UIS308		
co#UII023	co#UIS309		
co#UII023	co#UIS310		
co#UII023	co#UIS311		
co#UII023	co#UIS312		
co#UII023	co#UIS313		
co#UII023	co#UIS314		
co#UII023	co#UIS315		
co#UII023	co#UIS316		
co#UII023	co#UIS317		
co#UII023	co#UIS318		
co#UII023	co#UIS319		
co#UII023	co#UIS320		
co#UII023	co#UIS321		
co#UII023	co#UIS322		
co#UII023	co#UIS323		
co#UII023	co#UIS324		
co#UII023	co#UIS325		
co#UII023	co#UIS326		
co#UII023	co#UIS327		
co#UII023	co#UIS328		
co#UII023	co#UIS329		
co#UII023	co#UIS330		
co#UII023	co#UIS331		
co#UII023	co#UIS332		
co#UII023	co#UIS333		
co#UII023	co#UIS405		
co#UII023	co#UIS443		
co#UII023	co#UIS444		
co#UII023	co#UIS445		
co#UII023	co#UIS446		
co#UII023	co#UIS447		
co#UII023	co#UIS454		
co#UII023	co#UIS487		
co#UII023	co#UIS548		
co#UII023	co#UIS666		
co#UII023	co#UIS683		
co#UII023	co#UIS684		
co#UII023	co#UIS685		
co#UII023	co#UIS686		
co#UII028	co#UIA000		
co#UII028	co#UIA007		
co#UII028	co#UIA029		
co#UII028	co#UIA131		
co#UII028	co#UIS487		
co#UII028	co#UIS666		
co#UII030	co#UIA007		
co#UII030	co#UIA029		
co#UII030	co#UIA131		
co#UII031	co#UIA007		
co#UII031	co#UIA029		
co#UII031	co#UIA131		
co#UII031	co#UIS487		
co#UII031	co#UIS666		
co#UII032	co#UIA007		
co#UII032	co#UIA029		
co#UII032	co#UIA131		
co#UII032	co#UII018		
co#UII033	co#UIA007		
co#UII033	co#UIA029		
co#UII033	co#UIA131		
co#UII033	co#UIS487		
co#UII033	co#UIS666		
co#UII034	co#UIA007		
co#UII034	co#UIA029		
co#UII034	co#UIA131		
co#UII035	co#UIA007		
co#UII035	co#UIA029		
co#UII035	co#UIA131		
co#UII036	co#UIA000		
co#UII036	co#UIA007		
co#UII036	co#UIA029		
co#UII036	co#UIA131		
co#UII036	co#UII034		
co#UII037	co#UIA007		
co#UII037	co#UIA029		
co#UII037	co#UIA131		
co#UII050	co#UIA000		
co#UII050	co#UIA007		
co#UII050	co#UIA029		
co#UII050	co#UIA131		
co#UII050	co#UII018		
co#UII050	co#UII056		
co#UII051	co#UIA000		
co#UII051	co#UIA007		
co#UII051	co#UIA029		
co#UII051	co#UIA131		
co#UII051	co#UII018		
co#UII051	co#UII056		
co#UII052	co#UIA000		
co#UII052	co#UIA007		
co#UII052	co#UIA029		
co#UII052	co#UIA131		
co#UII052	co#UII018		
co#UII053	co#UIA000		
co#UII053	co#UIA007		
co#UII053	co#UIA029		
co#UII053	co#UIA131		
co#UII053	co#UII018		
co#UII054	co#UIA007		
co#UII054	co#UIA029		
co#UII054	co#UIA131		
co#UII054	co#UIS487		
co#UII054	co#UIS666		
co#UII054	co_IS048		
co#UII055	co#UIA000		
co#UII055	co#UIA007		
