attrid	longname	datatp	value	domainid	type	formula	multivalued	optional	profiling	unique	valuetp	
co#IX0030	ID ISIN KUBIX-IB	STRING			1	co#ATTRIBUTE_POP	0	0	1	0		
co#IX0034	MSCI COUNTRY	ASSOCIATED		co_MSCI_COUNTRY	1	co#ATTRIBUTE_POP	0	0	1	0		
co#MON001	MONITORING WM IERUN START	DATETIME			1		0	0	1	0		
co#MON002	MONITORING WM IERUN END	DATETIME			1		0	0	1	0		
co#MON003	MONITORING BB IERUN START	DATETIME			1		0	0	1	0		
co#MON004	MONITORING BB IERUN END	DATETIME			1		0	0	1	0		
co#MON005	AVAILABLE TABTABLE HASHES	ASSOCIATED		co_AVAIL_TABTABLE_HASH	0		0	0	0	0		
co#MON006	MONITORING TABTABLE HASHES	COMPOUND			1	co#HASH_MONITOR_POP	0	0	0	0		
co#MON007	WFS NOTIFICATION HEARTBEAT	DATETIME			0		0	0	1	0		
co#MON008	WFS NOTIF EVNTHNDLR HEARTBEAT	DATETIME			0		0	0	1	0		
co#MON009	WFS NOTIFIER ONDEMAND CHECK	STRING			0		0	0	0	0		
co#UIA000	UWID	STRING			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA001	UWID OLD	STRING			0		0	0	1	0		
co#UIA002	CREDIT_CASHFLOW	COMPOUND			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA003	CONSOLIDATION SOURCES BACKUP	COMPOUND			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA004	BESTAND Portfolio-Swap	INTEGER			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA005	BESTAND Portfolio-Swap SEIT	DATE			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA006	BESTAND Portfolio-Swap BIS	DATE			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA007	ANY VERSANDFLAG FLAG	ASSOCIATED		co_JN_FLAG	1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA025	ADO SPLITTED	STRING			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA028	COMMENT	STRING			1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA029	ADO CATEGORY	ASSOCIATED		co_ADOCATEGORY	1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA040	CLASS INSTRUMENT TYPE	ASSOCIATED		co_CLASS_INSTRUMENT_TYPE	1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA041	CLASS INTEREST RATE	ASSOCIATED		co_CLASS_INTEREST_RATE	1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA042	CLASS REDEMPTION	ASSOCIATED		co_CLASS_REDEMPTION	1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA043	CLASS CONVERTIBILITY	ASSOCIATED		co_CLASS_CONVERTIBILITY	1	co#ATTRIBUTE_POP	0	0	1	0		
co#UIA044	CLASS CALLABLE	ASSOCIATED		co_CLASS_OPTION	1	co#ATTRIBUTE_POP	0	0	1	0		
